date_of_Payment,account_Number,branch_ID,bank_ID,transaction_ID,transaction_Amount,mode_of_Transfer1,date_of_Submission,invoice_Due_Date,remittance_Number,total_due_Amount,amount_Paid,balance_Amount,mode_of_Transfer2,status
06/05/2019,4628703163321050,CCS08,WF012,CCS60001,35904,account to account,28/04/2019,03/05/2019,PMT-100001,36864,35904,960,account to account,Approved
12/06/2019,4284399850715240,CCS08,JPM012,TRN60002,2025,"cash to account,credit/debit card service",28/06/2019,24/06/2019,PMT-100002,2586,2025,561,"cash to account,credit/debit card service",Approved
10/08/2019,4610000000000000,GPA01,BNP012,EX060003,30441,cash,25/08/2019,06/09/2019,PMT-100003,31249,30441,808,cash,Rejected
31/12/2018,4440000000000000,CCS08,HSBC012,TRN60004,31090,cash to account,04/01/2019,19/01/2019,PMT-100004,31975,31090,885,cash to account,Approved
12/05/2019,4730056511858720,GPA01,DEU012,CCS60005,22551,"cash,debit/credit card",15/05/2019,20/05/2019,PMT-100005,23367,22551,816,"cash,debit/credit card",Approved
02/05/2019,4750000000000000,ITS03,BNP012,TRN60006,7326,"account to account,door to door",25/04/2019,21/04/2019,PMT-100006,7453,7326,127,"account to account,door to door",Approved
21/04/2019,4470000000000000,HEB18,BNP012,EX060007,38039,cash to account,28/04/2019,15/05/2019,PMT-100007,38462,38039,423,cash to account,Rejected
24/06/2019,4418568818305560,MAJ962,RBC012,TRN60008,31173,cash to account,28/06/2019,17/07/2019,PMT-100008,32000,31173,827,cash to account,Approved
13/12/2019,4490000000000000,SIL362,SSC012,CCS60009,34290,"account,account to cash",15/12/2019,20/12/2019,PMT-100009,34384,34290,94,"account,account to cash",Rejected
26/07/2019,4320000000000000,CCS08,WF012,CCS60010,19917,prepaid card,31/07/2019,14/08/2019,PMT-100010,20661,19917,744,prepaid card,Approved
01/06/2019,4628703163321050,CCS08,DEU012,TRN60011,16490,usd service,28/05/2019,05/06/2019,PMT-100011,17055,16490,565,usd service,Approved
25/12/2019,4461330335322460,SIL362,HSBC012,ADB60012,21388,"account,account to cash",25/12/2019,09/01/2020,PMT-100012,21753,21388,365,"account,account to cash",Approved
26/11/2019,4790000000000000,GPA01,RBC012,TRN60013,21075,"cash to cash,credit/debit card service",28/11/2019,24/11/2019,PMT-100013,22009,21075,934,"cash to cash,credit/debit card service",Rejected
08/01/2019,4489858858391470,CCS08,WF012,CCS60014,35571,mobile,08/01/2019,23/01/2019,PMT-100014,36154,35571,583,mobile,Rejected
05/05/2019,4430000000000000,BEL16,MS012,EX060015,14034,door to door,25/04/2019,27/04/2019,PMT-100015,14254,14034,220,door to door,Approved
06/11/2019,4310965278942460,PAN27,AE012,ADB60016,26659,eur service,15/11/2019,29/11/2019,PMT-100016,27461,26659,802,eur service,Approved
30/01/2020,4708814514140940,BEL16,Nort012,CCS60017,26074,"cash,debit/credit card",15/02/2020,11/02/2020,PMT-100017,26126,26074,52,"cash,debit/credit card",Rejected
08/03/2020,4871073844665610,MAJ962,MUFG012,CCS60018,10968,mobile money,25/02/2020,01/03/2020,PMT-100018,11262,10968,294,mobile money,Rejected
15/01/2020,4930000000000000,MAJ962,BOA012,EX060019,5605,cash,15/01/2020,17/01/2020,PMT-100019,6181,5605,576,cash,Rejected
01/06/2019,4450000000000000,CCS08,BMO012,ADB60020,8715,cash to account,15/06/2019,17/06/2019,PMT-100020,9311,8715,596,cash to account,Rejected
26/11/2019,4571487833576270,MAJ962,CITI012,TRN60021,28691,mobile money,28/11/2019,14/12/2019,PMT-100021,28810,28691,119,mobile money,Rejected
29/01/2020,4330710538454070,ITS03,Nort012,CCS60022,23796,door to account,15/01/2020,27/01/2020,PMT-100022,23906,23796,110,door to account,Approved
28/05/2019,4550000000000000,PAN27,AE012,EX060023,35497,door to account,28/05/2019,07/06/2019,PMT-100023,36119,35497,622,door to account,Rejected
25/06/2019,4619488866261890,BEL16,BMO012,ADB60024,36433,"cash,debit/credit card",25/06/2019,11/07/2019,PMT-100024,37421,36433,988,"cash,debit/credit card",Rejected
07/09/2019,4450000000000000,CCS08,BOA012,CCS60025,26514,"bank account transfer,cash,mobile money",15/09/2019,28/09/2019,PMT-100025,27475,26514,961,"bank account transfer,cash,mobile money",Approved
25/12/2019,4920000000000000,GPA01,GMS012,TRN60026,15736,cash to account,15/12/2019,01/01/2020,PMT-100026,15791,15736,55,cash to account,Approved
25/04/2019,4465487619421600,ITS03,HSBC012,EX060027,38008,account to account,25/04/2019,21/04/2019,PMT-100027,38845,38008,837,account to account,Approved
14/12/2019,4350000000000000,HEB18,JPM012,ADB60028,31067,eur service,01/01/2020,14/01/2020,PMT-100028,31250,31067,183,eur service,Rejected
28/08/2019,4730000000000000,CCS08,UBS012,CCS60029,16804,"account,cash to cash",28/08/2019,16/09/2019,PMT-100029,16864,16804,60,"account,cash to cash",Rejected
25/06/2019,4619488866261890,GPA01,HSBC012,CCS60030,2986,eur service,25/06/2019,15/07/2019,PMT-100030,3064,2986,78,eur service,Rejected
17/06/2019,4387350758070690,SIL362,Nort012,TRN60031,28419,account to account,30/06/2019,10/07/2019,PMT-100031,28568,28419,149,account to account,Approved
28/04/2019,4486019260868800,CCS08,SSC012,ADB60032,35110,"account to account,door to door",28/04/2019,08/05/2019,PMT-100032,36000,35110,890,"account to account,door to door",Rejected
